CharityID,imgid,Name,KeyWords,charity_type,description,LinktoPayment,web_link,Inception_Date,Cause,Sub_causes,tgt_beneficiaries,region,region_cntry,region_st,region_cty,smedia_acct,insta_link,insta_stats,twitter_link,twitter_stats,fb_link,fb_stats,relief_type,impact_per_1K,cost_per_relief,entity_provided,cost_per_entity,collective_impact,no_donors,amnt_collected,info_last_updated,Key words
1,1,KhaanaChahiye Foundation,"Meals,Mumbai, migrant workers, citizen-led",Org-Fundraiser,"Khaana Chahiye Foundation started as a citizen-led campaign in March 2020 to meet the immediate, lockdown-induced food demands of the homeless, migrant workers, daily wage labourers, and other vulnerable populations in the city of Mumbai.",https://fundraisers.giveindia.org/fundraisers/khaanachahiye-mumbai-is-battling-hunger-along-with-covid-19-again,https://fundraisers.giveindia.org/fundraisers/khaanachahiye-mumbai-is-battling-hunger-along-with-covid-19-again,30 March 2020,0,,"Migrant Workers, homeless, daily wage labourers, frontline workers, other vulnerable populations",2,India,Maharashtra,Mumbai,Y,https://www.instagram.com/khaanachahiye/,5545| 433,https://twitter.com/khaanachahiye,4369| NULL,https://www.facebook.com/khaanachahiye/,3612 | NULL,Meals,~150 meals (1 month food for 1 family),15,meal,15,· 2000+ family grocery kits distributed · 8000 meals served  · 175 volunteers engaged in relief efforts on ground and remotely,9276,"4,75,00,000",15/06/2021,
2,2,Pentanami Technologies Pvt. Ltd.,"Central India, PPE Kits, Transportation",Fundraiser,"HelpNow is an Initiative by young students providing a safe, 24x7 logistics network for transporting COVID patients/suspects, Drugs, Phlebotomists, Healthcare workers (docs, nurses) and Blood/Organs/Medical supplies in India.",https://www.ketto.org/fundraiser/getHelpNow?payment=form,https://www.ketto.org/fundraiser/getHelpNow,,1,Transportatio PPE Kits,"Covid patients,health careworkers, poor",1,India,,"Mumbai, Delhi,Bangalore, Pune",N,,,,,,,Transportation,,15000,ambulance,,"Purchasing BLS Oxygen AmbulancesIncentivizing an army of drivers to join the cause and reinvigorate ambulance supply.Extending free ambulance support to the poor.50,000+ PPE Kits",4605,"2,40,05,705",05/05/2021,
3,2,Pentanami Technologies Pvt. Ltd.,"Central India, PPE Kits, Transportation",Fundraiser,"HelpNow is an Initiative by young students providing a safe, 24x7 logistics network for transporting COVID patients/suspects, Drugs, Phlebotomists, Healthcare workers (docs, nurses) and Blood/Organs/Medical supplies in India.",https://www.ketto.org/fundraiser/getHelpNow?payment=form,https://www.ketto.org/fundraiser/getHelpNow,,1,Transportatio PPE Kits,"Covid patients,health careworkers, poor",0,India,,"Mumbai, Delhi,Bangalore, Pune",N,,,,,,,Transportation,,15000,ambulance,,"Purchasing BLS Oxygen AmbulancesIncentivizing an army of drivers to join the cause and reinvigorate ambulance supply.Extending free ambulance support to the poor.50,000+ PPE Kits",4605,"2,40,05,705",05/05/2021,
4,2,Pentanami Technologies Pvt. Ltd.,"Central India, PPE Kits, Transportation",Fundraiser,"HelpNow is an Initiative by young students providing a safe, 24x7 logistics network for transporting COVID patients/suspects, Drugs, Phlebotomists, Healthcare workers (docs, nurses) and Blood/Organs/Medical supplies in India.",https://www.ketto.org/fundraiser/getHelpNow?payment=form,https://www.ketto.org/fundraiser/getHelpNow,,2,Transportatio PPE Kits,"Covid patients,health careworkers, poor",1,India,,"Mumbai, Delhi,Bangalore, Pune",N,,,,,,,Transportation,,15000,ambulance,,"Purchasing BLS Oxygen AmbulancesIncentivizing an army of drivers to join the cause and reinvigorate ambulance supply.Extending free ambulance support to the poor.50,000+ PPE Kits",4605,"2,40,05,705",05/05/2021,
5,2,Pentanami Technologies Pvt. Ltd.,"Central India, PPE Kits, Transportation",Fundraiser,"HelpNow is an Initiative by young students providing a safe, 24x7 logistics network for transporting COVID patients/suspects, Drugs, Phlebotomists, Healthcare workers (docs, nurses) and Blood/Organs/Medical supplies in India.",https://www.ketto.org/fundraiser/getHelpNow?payment=form,https://www.ketto.org/fundraiser/getHelpNow,,2,Transportatio PPE Kits,"Covid patients,health careworkers, poor",0,India,,"Mumbai, Delhi,Bangalore, Pune",N,,,,,,,Transportation,,15000,ambulance,,"Purchasing BLS Oxygen AmbulancesIncentivizing an army of drivers to join the cause and reinvigorate ambulance supply.Extending free ambulance support to the poor.50,000+ PPE Kits",4605,"2,40,05,705",05/05/2021,
6,3,Hemkunt,"North India, Medical Supply Oxygen",Org-Fundraiser,"Hemkunt Foundation is a non-government organisation that aims to provide humanitarian aid to marginalized sections of society.The organisation is based upon the most popular Sikh principle of ‘Sarbat Da Bhalla’ which means welfare for all. While the efforts of Hemkunt Foundation are in tandem with its principle, it continues to provide livelihoods, disaster relief, access to basic human rights and education to all.",https://hemkuntfoundation.com/donate-now/,https://hemkuntfoundation.com/,2010,1,Oxygen,COVID-19 patients,1,India,Gurugram,Haryana,Y,https://www.instagram.com/hemkunt_foundation/,103K|384,https://twitter.com/Hemkunt_Fdn,19.5K|685,https://www.facebook.com/hemkuntfoundation/,93391| 600+,Oxygen Infrastructure,,"9,500",oxygen_cylinders,"9,500",Purchase Oxygen concentrator 10 Ltr capacityAssist up to 500 patients at the centre for oxygenAvailable first aid respondersOpen 24/7 and there to serve everyone.,,,29/05/2021,
7,4,Democracy People Foundation,,Org-Fundraiser,"We’re a community of concerned individuals who have proactively initiated the movement #missionoxygen to alleviate the current oxygen crisis by donating Oxygen Concentrators to hospitals, nursing homes and medical care facilities entirely funded by socially responsible citizens and distributed through a transparent, verifiable, and accountable channel.",NULL,https://www.ketto.org/fundraiser/mission-oxygen-helping-hospitals-to-save-lives,,1,Oxygen,COVID-19 patients,1,India,"17 States Delhi, Haryana,Uttar Pradesh,Telangana,Odisha.Jharkhand,Uttar,Rajasthan,Mizoram,Karnataka,Jammu and Kashmir,Bihar, Goa, Uttarakhand","New Dheli, Gurugram,Faridabad, Noida, Karnal, Ghaziabad, Faribadad",Y,https://www.instagram.com/missionoxygenindia/,9564|167,https://twitter.com/india_oxygen,2647|200,,,Oxygen Infrastructure,,60000,oxygen_concentrator_machine,"55,000-60,000","Oxygen concentration ordered - 6000Health care facilities covered - 300+Oxygen concentration donated - 2837 Oxygen plants ordered - 28 Oximeters donated - 55,000 HNFC donated - 46",41892,"41,73,93,682",29/05/2021,
8,4,Democracy People Foundation,,Org-Fundraiser,"We’re a community of concerned individuals who have proactively initiated the movement #missionoxygen to alleviate the current oxygen crisis by donating Oxygen Concentrators to hospitals, nursing homes and medical care facilities entirely funded by socially responsible citizens and distributed through a transparent, verifiable, and accountable channel.",NULL,https://www.ketto.org/fundraiser/mission-oxygen-helping-hospitals-to-save-lives,,1,Oxygen,COVID-19 patients,2,India,"17 States Delhi, Haryana,Uttar Pradesh,Telangana,Odisha.Jharkhand,Uttar,Rajasthan,Mizoram,Karnataka,Jammu and Kashmir,Bihar, Goa, Uttarakhand","New Dheli, Gurugram,Faridabad, Noida, Karnal, Ghaziabad, Faribadad",Y,https://www.instagram.com/missionoxygenindia/,9564|167,https://twitter.com/india_oxygen,2647|200,,,Oxygen Infrastructure,,60000,oxygen_concentrator_machine,"55,000-60,000","Oxygen concentration ordered - 6000Health care facilities covered - 300+Oxygen concentration donated - 2837 Oxygen plants ordered - 28 Oximeters donated - 55,000 HNFC donated - 46",41892,"41,73,93,682",29/05/2021,
9,4,Democracy People Foundation,,Org-Fundraiser,"We’re a community of concerned individuals who have proactively initiated the movement #missionoxygen to alleviate the current oxygen crisis by donating Oxygen Concentrators to hospitals, nursing homes and medical care facilities entirely funded by socially responsible citizens and distributed through a transparent, verifiable, and accountable channel.",NULL,https://www.ketto.org/fundraiser/mission-oxygen-helping-hospitals-to-save-lives,,1,Oxygen,COVID-19 patients,0,India,"17 States Delhi, Haryana,Uttar Pradesh,Telangana,Odisha.Jharkhand,Uttar,Rajasthan,Mizoram,Karnataka,Jammu and Kashmir,Bihar, Goa, Uttarakhand","New Dheli, Gurugram,Faridabad, Noida, Karnal, Ghaziabad, Faribadad",Y,https://www.instagram.com/missionoxygenindia/,9564|167,https://twitter.com/india_oxygen,2647|200,,,Oxygen Infrastructure,,60000,oxygen_concentrator_machine,"55,000-60,000","Oxygen concentration ordered - 6000Health care facilities covered - 300+Oxygen concentration donated - 2837 Oxygen plants ordered - 28 Oximeters donated - 55,000 HNFC donated - 46",41892,"41,73,93,682",29/05/2021,
10,5,Akshaya Patra,"Food Relief, Children",Organization,"The Akshaya Patra Foundation isan NGO in India headquartered in Bengaluru. Our organisation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in the government schools and government-aided schools. Alongside, Akshaya Patra also aims at countering malnutrition and supporting the right to education of socio-economically disadvantaged children.Vision - No child in india shall be deorived of education because of hungerMission- to feed 5 million Children by 2025.",https://www.akshayapatra.org/covid-relief-services,https://www.akshayapatra.org,June 2000,0,,"Children, poor,people in need",1,India,"Rajasthan,Karnataka, Telangana, Gujarat, Maharashtra, NCR, Uttar Pradesh, Andhra Pradesh, Tamil Nadu, Chhattisgarh, Odisha, Assam, Madhya Pradesh, Uttarakhand ,Tripura ,West Bengal Punjab ,Jharkhand and Himachal Pradesh.",,N but there are updates on themedia room section of the website,,,,,,,Meals,"Cooked meal 25 RsGrocery kit  825 Rs(contains rice, pulsesoil, spices, vegetablethat can serve 2 pplwith 42 meals for21 days",850,"meal,grocery_kit",25 Rs and 825 Rs,"12,16,96,864 Cumulative meals and 10,19,876 kits.",,,06/05/2021,
